id,good_ingredients,bad_ingredients
194,"['peg/ppg/polybutylene glycol-8/5/3 glycerin', 'sodium hyaluronate', 'hydrolyzed sodium hyaluronate', 'panthenol', 'glycerin', 'titanium dioxide']",[]
195,"['glycerin', 'sodium hyaluronate', 'titanium dioxide']",['propylene glycol']
196,"['glycerin', 'tocopherol', 'hydrolyzed sodium hyaluronate', 'ethylhexyl glycerin']",[]
197,['tocopherol'],[]
198,"['glycerin', 'sodium hyaluronate']",[]
199,"['panthenol', 'glycerin', 'ethylhexyl glycerin', 'sodium hyaluronate']",[]
200,['glycerin'],[]
201,"['hydrolyzed collagen', 'sodium hyaluronate']",['dipropylene glycol']
202,['sodium hyaluronate'],[]
203,['glycerin'],[]
204,['glycerin'],[]
205,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
206,"['glycerin', 'hydrolyzed sodium hyaluronate', 'titanium dioxide']","['dipropylene glycol', 'propylene glycol']"
207,"['shea butter ethyl esters', 'glycerin']",[]
208,"['glycerin', 'titanium dioxide', 'sodium hyaluronate']",['dipropylene glycol']
209,"['tocopherol', 'glycerin']",[]
210,"['glycerin', 'sodium hyaluronate', 'tocopherol']",[]
211,['sodium hyaluronate'],[]
212,"['sodium hyaluronate', 'ethylhexyl glycerin']",[]
213,"['niacinamide', 'panthenol', 'ethylhexyl glycerin', 'titanium dioxide']",[]
214,"['glycerin', 'diglycerin', 'sodium hyaluronate', 'sodium hyaluronate', 'sodium hyaluronate', 'hydrolyzed sodium hyaluronate', 'panthenol', 'ethylhexyl glycerin']",['propylene glycol']
215,"['glycerin', 'sodium hyaluronate', 'tocopherol', 'linoleic acid']",[]
216,"['glycerin', 'sodium hyaluronate', 'tocopherol', 'ethylhexyl glycerin']",[]
217,"['tocopherol', 'linoleic acid', 'glycerin']",[]
218,"['glycerin', 'ethylhexyl glycerin', 'allantoin']",[]
219,"['glycerin', 'sodium hyaluronate']",[]
220,['sodium hyaluronate'],['propylene glycol dicoco-caprylate']
221,"['glycerin', 'sodium hyaluronate', 'tocopherol', 'ethylhexyl glycerin', 'retinol', 'sodium hyaluronate']",[]
